"","Gene"
"1","AGT"
"2","ARG1"
"3","ASPA"
"4","BTK"
"5","CD36"
"6","CD40L"
"7","CDK4"
"8","CDKN2A"
"9","COL1A2"
"10","DPYD"
"11","ERCC5"
"12","F13A1"
"13","MSH6"
"14","GUSb"
"15","SHH"
"16","ICAM1"
"17","CFI"
"18","JAG1"
"19","KCNA1"
"20","MET"
"21","MICA"
"22","MLH1"
"23","MSH2"
"24","NF1"
"25","GPR143"
"26","SERPINA1"
"27","PLA2G2A"
"28","PMM2"
"29","PTEN"
"30","RB1"
"31","SNCA"
"32","SOX9"
"33","TIMP3"
"34","TSC1"
"35","WT1"
"36","ERCC2"
"37","CD25"
"38","ILR4"
"39","PECAM1"
"40","Selectin.E"
"41","STK11"
"42","EYA1"
"43","PMS2"
"44","REN"
"45","TP53"
"46","TSC2"
"47","IL10"
"48","IL1B"
"49","CCR5"
"50","IL8"
"51","IL2"
"52","IL4"
"53","TNF1a"
"54","IGFBP2"
"55","IGFBP3"
"56","IL6"
"57","HGF"
"58","SERPINE1"
"59","CXCL12"
"60","NCAM1"
"61","CD4"
"62","IFNg"
"63","CD11b"
"64","TGFb1"
"65","ATP1A2"
"66","CAIV"
"67","CD3E"
"68","CRAT"
"69","CSF2"
"70","CYP27B1"
"71","DCX"
"72","DHFR"
"73","GABRB2"
"74","GAD2"
"75","GRIK1"
"76","ICAM2"
"77","IGF1R"
"78","IL7"
"79","IL12A"
"80","Cd11c"
"81","MAOB"
"82","NPR3"
"83","PLA2G5"
"84","PLAT"
"85","POLR2A"
"86","PTGDS"
"87","PTGER2"
"88","PTGER4"
"89","Cox2"
"90","RPL13"
"91","CD44"
"92","LMO3"
"93","RORC"
"94","PPARA"
"95","RPLP0"
"96","FCGR2B"
"97","SMC4"
"98","CENPM"
"99","BMF"
"100","GPNMB"
"101","YPEL2"
"102","ERBB3"
"103","RASL10A"
"104","STEAP3"
"105","PHF19"
"106","AR"
"107","SEC61G"
"108","ARHGAP8"
"109","FBLIM1"
"110","CD267"
"111","CD34"
"112","VEGFA"
"113","MOXD1"
"114","CAB39L"
"115","LIMK2"
"116","EXOSC9"
"117","RYR3"
"118","PCDH17"
"119","PHF11"
"120","SIDT2"
"121","CEP170"
"122","ERBB4"
"123","SRD5A1"
"124","TOP2A"
"125","TYMS"
"126","FSCN2"
"127","VCAM1"
"128","ZAP70"
"129","VAV3"
"130","CNGA3"
"131","NEUN"
"132","GRIA2"
"133","TCF4"
"134","GCNT1_all"
"135","C2GnT2"
"136","C2GnT3"
"137","C2GnT4"
"138","SLC4A4"
"139","C2ORF80"
"140","ACTB"
"141","INPP4B"
"142","ACTN1"
"143","Pcp4l1"
"144","LAMA4"
"145","FANCI"
"146","CHEK1"
"147","ENG"
"148","p63"
"149","CDCA7L"
"150","IGF2"
"151","PDLIM4"
"152","PIK3IP1"
"153","POSTN"
"154","iASPP"
"155","LGALS12_all"
"156","ANGPT1"
"157","ANGPT2"
"158","TNIK"
"159","FXYD5"
"160","LDHA"
"161","DHX40"
"162","BIRC5"
"163","FREM3"
"164","CDHR1"
"165","TBP"
"166","LDHB"
"167","ARHGDIB"
"168","LGALS3.iso.2"
"169","DIDO1"
"170","BMP2"
"171","CA9"
"172","CA12"
"173","CASP1"
"174","CASP4"
"175","SERPINH1"
"176","CD27"
"177","MTHFD1L"
"178","SNAP91"
"179","NDRG4"
"180","CD28"
"181","ENTPD3"
"182","CD40"
"183","CD68"
"184","CD70"
"185","CDC6"
"186","CDK6"
"187","CDKN2C"
"188","CD45RO"
"189","CHI3L1"
"190","AP2B1"
"191","CTNND2"
"192","CX3CR1"
"193","DAB2"
